date,station,airT,latitude,longitude
2018-07-01T08:00:00Z,airportthf,18.9,52.4675,13.4021
2018-07-01T08:00:00Z,airporttxl,18.1,52.5644,13.3088
2018-07-01T08:00:00Z,albrecht,18.6224,52.444594,13.348607
2018-07-01T08:00:00Z,bamberger,17.7925,52.496494,13.337552
2018-07-01T08:00:00Z,baruth,18.2,52.0613,13.4997
2018-07-01T08:00:00Z,berge,18.6,52.6198,12.7867
2018-07-01T08:00:00Z,brandenburg,18.7,52.3807,13.5306
2018-07-01T08:00:00Z,buch,19.4,52.6309,13.5022
2018-07-01T08:00:00Z,dahlem,18.8,52.4537,13.3017
2018-07-01T08:00:00Z,dahlemerfeld,18.1959,52.477623,13.225339
2018-07-01T08:00:00Z,dessauer,18.1491,52.50467,13.3783
2018-07-01T08:00:00Z,jagen91,17.4929,52.473239,13.225079
2018-07-01T08:00:00Z,kaniswall,19.9,52.404,13.7309
2018-07-01T08:00:00Z,koepenick,19.2808,52.433018,13.615687
2018-07-01T08:00:00Z,lindenberg,17.8,52.2085,14.118
2018-07-01T08:00:00Z,marzahn,17.9,52.5447,13.5598
2018-07-01T08:00:00Z,muencheberg,18.1,52.5176,14.1232
2018-07-01T08:00:00Z,neuruppin,17.3,52.9037,12.8072
2018-07-01T08:00:00Z,potsdam,19.7,52.3813,13.0622
2018-07-01T08:00:00Z,rothenburg,17.9221,52.457232,13.315827
2018-07-01T08:00:00Z,spandauer,20.8932,52.536388,13.158442
2018-07-01T08:00:00Z,tiergarten,18.9022,52.514492,13.363593
2018-07-01T08:00:00Z,zehdenick,17.2,52.9664,13.3268
2018-07-01T09:00:00Z,airportthf,20.4,52.4675,13.4021
2018-07-01T09:00:00Z,airporttxl,19.9,52.5644,13.3088
2018-07-01T09:00:00Z,albrecht,19.3843,52.444594,13.348607
2018-07-01T09:00:00Z,bamberger,18.7782,52.496494,13.337552
2018-07-01T09:00:00Z,baruth,19.4,52.0613,13.4997
2018-07-01T09:00:00Z,berge,19.5,52.6198,12.7867
2018-07-01T09:00:00Z,brandenburg,19.9,52.3807,13.5306
2018-07-01T09:00:00Z,buch,19.4,52.6309,13.5022
2018-07-01T09:00:00Z,dahlem,19.3,52.4537,13.3017
2018-07-01T09:00:00Z,dahlemerfeld,19.3643,52.477623,13.225339
2018-07-01T09:00:00Z,dessauer,19.2691,52.50467,13.3783
2018-07-01T09:00:00Z,jagen91,19.1701,52.473239,13.225079
2018-07-01T09:00:00Z,kaniswall,19.3,52.404,13.7309
2018-07-01T09:00:00Z,koepenick,19.2329,52.433018,13.615687
2018-07-01T09:00:00Z,lindenberg,18.9,52.2085,14.118
2018-07-01T09:00:00Z,marzahn,19.3,52.5447,13.5598
2018-07-01T09:00:00Z,muencheberg,18.7,52.5176,14.1232
2018-07-01T09:00:00Z,neuruppin,18.1,52.9037,12.8072
2018-07-01T09:00:00Z,potsdam,20.4,52.3813,13.0622
2018-07-01T09:00:00Z,rothenburg,20.1681,52.457232,13.315827
2018-07-01T09:00:00Z,spandauer,22.546,52.536388,13.158442
2018-07-01T09:00:00Z,tiergarten,20.1905,52.514492,13.363593
2018-07-01T09:00:00Z,zehdenick,19.2,52.9664,13.3268
2018-07-01T10:00:00Z,airportthf,21.2,52.4675,13.4021
2018-07-01T10:00:00Z,airporttxl,19.7,52.5644,13.3088
2018-07-01T10:00:00Z,albrecht,20.6147,52.444594,13.348607
2018-07-01T10:00:00Z,bamberger,19.518,52.496494,13.337552
2018-07-01T10:00:00Z,baruth,19,52.0613,13.4997
2018-07-01T10:00:00Z,berge,19.4,52.6198,12.7867
2018-07-01T10:00:00Z,brandenburg,19.6,52.3807,13.5306
2018-07-01T10:00:00Z,buch,20.1,52.6309,13.5022
2018-07-01T10:00:00Z,dahlem,20.1,52.4537,13.3017
2018-07-01T10:00:00Z,dahlemerfeld,20.1551,52.477623,13.225339
2018-07-01T10:00:00Z,dessauer,20.4419,52.50467,13.3783
2018-07-01T10:00:00Z,jagen91,19.7605,52.473239,13.225079
2018-07-01T10:00:00Z,kaniswall,20.3,52.404,13.7309
2018-07-01T10:00:00Z,koepenick,20.7728,52.433018,13.615687
2018-07-01T10:00:00Z,lindenberg,18.8,52.2085,14.118
2018-07-01T10:00:00Z,marzahn,19.5,52.5447,13.5598
2018-07-01T10:00:00Z,muencheberg,19.1,52.5176,14.1232
2018-07-01T10:00:00Z,neuruppin,19.9,52.9037,12.8072
2018-07-01T10:00:00Z,potsdam,21.4,52.3813,13.0622
2018-07-01T10:00:00Z,rothenburg,21.9222,52.457232,13.315827
2018-07-01T10:00:00Z,spandauer,22.1586,52.536388,13.158442
2018-07-01T10:00:00Z,tiergarten,21.1983,52.514492,13.363593
2018-07-01T10:00:00Z,zehdenick,19.7,52.9664,13.3268
2018-07-01T11:00:00Z,airportthf,21.5,52.4675,13.4021
2018-07-01T11:00:00Z,airporttxl,21.1,52.5644,13.3088
2018-07-01T11:00:00Z,albrecht,21.5134,52.444594,13.348607
2018-07-01T11:00:00Z,bamberger,21.1011,52.496494,13.337552
2018-07-01T11:00:00Z,baruth,19.9,52.0613,13.4997
2018-07-01T11:00:00Z,berge,20.7,52.6198,12.7867
2018-07-01T11:00:00Z,brandenburg,21.4,52.3807,13.5306
2018-07-01T11:00:00Z,buch,21.1,52.6309,13.5022
2018-07-01T11:00:00Z,dahlem,21.8,52.4537,13.3017
2018-07-01T11:00:00Z,dahlemerfeld,20.6453,52.477623,13.225339
2018-07-01T11:00:00Z,dessauer,21.7577,52.50467,13.3783
2018-07-01T11:00:00Z,jagen91,20.2183,52.473239,13.225079
2018-07-01T11:00:00Z,kaniswall,20.1,52.404,13.7309
2018-07-01T11:00:00Z,koepenick,21.4047,52.433018,13.615687
2018-07-01T11:00:00Z,lindenberg,19.2,52.2085,14.118
2018-07-01T11:00:00Z,marzahn,20,52.5447,13.5598
2018-07-01T11:00:00Z,muencheberg,19.4,52.5176,14.1232
2018-07-01T11:00:00Z,neuruppin,19.9,52.9037,12.8072
2018-07-01T11:00:00Z,potsdam,22.1,52.3813,13.0622
2018-07-01T11:00:00Z,rothenburg,21.8792,52.457232,13.315827
2018-07-01T11:00:00Z,spandauer,23.8942,52.536388,13.158442
2018-07-01T11:00:00Z,tiergarten,22.1724,52.514492,13.363593
2018-07-01T11:00:00Z,zehdenick,19.7,52.9664,13.3268
2018-07-01T12:00:00Z,airportthf,21.2,52.4675,13.4021
2018-07-01T12:00:00Z,airporttxl,20.9,52.5644,13.3088
2018-07-01T12:00:00Z,albrecht,22.1466,52.444594,13.348607
2018-07-01T12:00:00Z,bamberger,22.2682,52.496494,13.337552
2018-07-01T12:00:00Z,baruth,21.5,52.0613,13.4997
2018-07-01T12:00:00Z,berge,20.7,52.6198,12.7867
2018-07-01T12:00:00Z,brandenburg,21.5,52.3807,13.5306
2018-07-01T12:00:00Z,buch,21.8,52.6309,13.5022
2018-07-01T12:00:00Z,dahlem,21.4,52.4537,13.3017
2018-07-01T12:00:00Z,dahlemerfeld,21.39,52.477623,13.225339
2018-07-01T12:00:00Z,dessauer,21.3097,52.50467,13.3783
2018-07-01T12:00:00Z,jagen91,20.9856,52.473239,13.225079
2018-07-01T12:00:00Z,kaniswall,21.2,52.404,13.7309
2018-07-01T12:00:00Z,koepenick,21.2735,52.433018,13.615687
